cnid	path	type	creator	data_len	data_ab	rsrc_len	rsrc_ab	created	modified	data_lba	data_extents	rsrc_extents
2210	Clic!/img/12co002.jpg	TEXT	LMAN	23205	48676	0	-1	1997-02-11 16:00:00	1997-02-10 12:08:42	243523.0000	48676+3	
2336	Clic!/img/12co003.jpg	TEXT	LMAN	61382	48886	0	-1	1997-02-11 16:00:00	1997-02-10 12:08:42	244573.0000	48886+6	
2101	Clic!/img/12co004.jpg	TEXT	LMAN	13114	48488	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:42	242583.0000	48488+2	
2209	Clic!/img/12co005.jpg	TEXT	LMAN	23386	48673	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:42	243508.0000	48673+3	
2106	Clic!/img/12ge001.jpg	TEXT	LMAN	16850	48499	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:44	242638.0000	48499+2	
2214	Clic!/img/12ge002.jpg	TEXT	LMAN	18947	48685	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:44	243568.0000	48685+2	
2338	Clic!/img/12ge003.jpg	TEXT	LMAN	24573	48894	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:44	244613.0000	48894+3	
2105	Clic!/img/12ge004.jpg	TEXT	LMAN	20837	48496	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:44	242623.0000	48496+3	
2213	Clic!/img/12ge005.jpg	TEXT	LMAN	13673	48683	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:44	243558.0000	48683+2	
2212	Clic!/img/12gi001.jpg	TEXT	LMAN	17765	48681	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:44	243548.0000	48681+2	
2337	Clic!/img/12gi002.jpg	TEXT	LMAN	14464	48892	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:46	244603.0000	48892+2	
2104	Clic!/img/12gi003.jpg	TEXT	LMAN	19401	48494	0	-1	1997-02-11 16:00:01	1997-02-10 12:08:46	242613.0000	48494+2	
2211	Clic!/img/12gi004.jpg	TEXT	LMAN	14058	48679	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:46	243538.0000	48679+2	
2207	Clic!/img/12mu001.jpg	TEXT	LMAN	13184	48669	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:46	243488.0000	48669+2	
2335	Clic!/img/12mu002.jpg	TEXT	LMAN	22294	48883	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:46	244558.0000	48883+3	
2100	Clic!/img/12mu003.jpg	TEXT	LMAN	23428	48485	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:46	242568.0000	48485+3	
2216	Clic!/img/12pc001.jpg	TEXT	LMAN	11548	48690	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:48	243593.0000	48690+2	
2359	Clic!/img/4ca001.jpg	TEXT	LMAN	12246	48935	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:48	244818.0000	48935+2	
2235	Clic!/img/4ca002.jpg	TEXT	LMAN	15074	48719	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:48	243738.0000	48719+2	
2122	Clic!/img/4ca003.jpg	TEXT	LMAN	6333	48550	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:48	242893.0000	48550+1	
2238	Clic!/img/4co001.jpg	TEXT	LMAN	9471	48723	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:48	243758.0000	48723+1	
2126	Clic!/img/4co002.jpg	TEXT	LMAN	7459	48557	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:48	242928.0000	48557+1	
2354	Clic!/img/4co003.jpg	TEXT	LMAN	8751	48928	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:50	244783.0000	48928+1	
2231	Clic!/img/4co004.jpg	TEXT	LMAN	6472	48712	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:50	243703.0000	48712+1	
2241	Clic!/img/4co004a.jpg	TEXT	LMAN	7067	48728	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:50	243783.0000	48728+1	
2118	Clic!/img/4co005.jpg	TEXT	LMAN	17049	48541	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:50	242848.0000	48541+2	
2098	Clic!/img/4gi001.jpg	TEXT	LMAN	6689	48482	0	-1	1997-02-11 16:00:02	1997-02-10 12:08:50	242553.0000	48482+1	
2333	Clic!/img/4gi002.jpg	TEXT	LMAN	6970	48880	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:50	244543.0000	48880+1	
2203	Clic!/img/4gi003.jpg	TEXT	LMAN	5229	48664	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:52	243463.0000	48664+1	
2092	Clic!/img/4gi004.jpg	TEXT	LMAN	6906	48475	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:52	242518.0000	48475+1	
2327	Clic!/img/4gi005.jpg	TEXT	LMAN	6366	48873	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:52	244508.0000	48873+1	
2198	Clic!/img/4gi006.jpg	TEXT	LMAN	6276	48658	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:52	243433.0000	48658+1	
2088	Clic!/img/4gi007.jpg	TEXT	LMAN	4567	48471	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:52	242498.0000	48471+1	
2323	Clic!/img/4gi008.jpg	TEXT	LMAN	5296	48868	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:52	244483.0000	48868+1	
2138	Clic!/img/4la001.jpg	TEXT	LMAN	10962	48579	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:52	243038.0000	48579+2	
2366	Clic!/img/4la002.jpg	TEXT	LMAN	4214	48955	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:54	244918.0000	48955+1	
2255	Clic!/img/4la003.jpg	TEXT	LMAN	7471	48757	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:54	243928.0000	48757+1	
2254	Clic!/img/4mu001.jpg	TEXT	LMAN	5376	48756	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:54	243923.0000	48756+1	
2250	Clic!/img/4po001.jpg	TEXT	LMAN	8587	48750	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:54	243893.0000	48750+1	
2137	Clic!/img/4po002.jpg	TEXT	LMAN	12992	48577	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:54	243028.0000	48577+2	
2363	Clic!/img/4po003.jpg	TEXT	LMAN	12140	48950	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:54	244893.0000	48950+2	
2249	Clic!/img/4po004.jpg	TEXT	LMAN	20471	48748	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:56	243883.0000	48748+2	
2136	Clic!/img/4po005.jpg	TEXT	LMAN	14531	48575	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:56	243018.0000	48575+2	
2362	Clic!/img/4po006.jpg	TEXT	LMAN	9015	48949	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:56	244888.0000	48949+1	
2248	Clic!/img/4po007.jpg	TEXT	LMAN	29629	48745	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:56	243868.0000	48745+3	
2135	Clic!/img/4po008.jpg	TEXT	LMAN	18860	48573	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:56	243008.0000	48573+2	
2361	Clic!/img/4po009.jpg	TEXT	LMAN	5928	48948	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:56	244883.0000	48948+1	
2251	Clic!/img/4po010.jpg	TEXT	LMAN	8389	48751	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:58	243898.0000	48751+1	
2240	Clic!/img/4sc001.jpg	TEXT	LMAN	30639	48725	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:58	243768.0000	48725+3	
2127	Clic!/img/4sc002.jpg	TEXT	LMAN	5793	48558	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:58	242933.0000	48558+1	
2239	Clic!/img/4so001.jpg	TEXT	LMAN	4190	48724	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:58	243763.0000	48724+1	
2129	Clic!/img/4st001.jpg	TEXT	LMAN	9659	48561	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:58	242948.0000	48561+1	
2232	Clic!/img/4st003.jpg	TEXT	LMAN	6173	48713	0	-1	1997-02-11 16:00:03	1997-02-10 12:08:58	243708.0000	48713+1	
2119	Clic!/img/4st004.jpg	TEXT	LMAN	9577	48543	0	-1	1997-02-11 16:00:03	1997-02-10 12:09:00	242858.0000	48543+1	
2349	Clic!/img/4st005.jpg	TEXT	LMAN	11951	48919	0	-1	1997-02-11 16:00:03	1997-02-10 12:09:00	244738.0000	48919+2	
2228	Clic!/img/4st006.jpg	TEXT	LMAN	9582	48706	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:00	243673.0000	48706+1	
2117	Clic!/img/4st007.jpg	TEXT	LMAN	10426	48539	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:00	242838.0000	48539+2	
2347	Clic!/img/4st008.jpg	TEXT	LMAN	5062	48916	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:00	244723.0000	48916+1	
2227	Clic!/img/4st009.jpg	TEXT	LMAN	6677	48705	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:02	243668.0000	48705+1	
2247	Clic!/img/6ar001.jpg	TEXT	LMAN	5882	48744	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:02	243863.0000	48744+1	
2132	Clic!/img/6ar002.jpg	TEXT	LMAN	5596	48570	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:02	242993.0000	48570+1	
2130	Clic!/img/6ca001.jpg	TEXT	LMAN	6231	48562	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:02	242953.0000	48562+1	
2356	Clic!/img/6ca002.jpg	TEXT	LMAN	6740	48931	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:02	244798.0000	48931+1	
2357	Clic!/img/6co001.jpg	TEXT	LMAN	5399	48932	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:02	244803.0000	48932+1	
2234	Clic!/img/6co002.jpg	TEXT	LMAN	6556	48718	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:02	243733.0000	48718+1	
2121	Clic!/img/6co003.jpg	TEXT	LMAN	6676	48549	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:04	242888.0000	48549+1	
2350	Clic!/img/6co004.jpg	TEXT	LMAN	6782	48921	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:04	244748.0000	48921+1	
2229	Clic!/img/6co005.jpg	TEXT	LMAN	4255	48707	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:04	243678.0000	48707+1	
2097	Clic!/img/6ge001.jpg	TEXT	LMAN	5284	48481	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:04	242548.0000	48481+1	
2332	Clic!/img/6ge002.jpg	TEXT	LMAN	6734	48879	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:04	244538.0000	48879+1	
2202	Clic!/img/6ge003.jpg	TEXT	LMAN	5581	48663	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:04	243458.0000	48663+1	
2091	Clic!/img/6ge004.jpg	TEXT	LMAN	5114	48474	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:06	242513.0000	48474+1	
2326	Clic!/img/6ge005.jpg	TEXT	LMAN	7105	48872	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:06	244503.0000	48872+1	
2197	Clic!/img/6ge006.jpg	TEXT	LMAN	4596	48657	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:06	243428.0000	48657+1	
2205	Clic!/img/6gi001.jpg	TEXT	LMAN	6495	48667	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:06	243478.0000	48667+1	
2094	Clic!/img/6gi002.jpg	TEXT	LMAN	5378	48478	0	-1	1997-02-11 16:00:04	1997-02-10 12:09:06	242533.0000	48478+1	
